date,league,season,country,home_team,away_team,match_result,home__is_shot_on_target_sum_avg,home__Shooting accuracy_avg,home__is_goal_sum_avg,home__is_inside_box_sum_avg,home__CROSS_sum_avg,home__PASS_ASSIST_sum_avg,home__CORNER_sum_avg,home__fast_break_sum_avg,away__is_shot_on_target_sum_avg,away__Shooting accuracy_avg,away__is_goal_sum_avg,away__is_inside_box_sum_avg,away__CROSS_sum_avg,away__PASS_ASSIST_sum_avg,away__CORNER_sum_avg,away__fast_break_sum_avg,goal_diff_avg,shot_on_target_diff_avg,shooting_accuracy_diff_avg,inside_box_diff_avg,cross_diff_avg,pass_assist_diff_avg,corner_diff_avg,fast_break_diff_avg
2011-08-19,D1,2012,germany,Borussia Monchengladbach,VfL Wolfsburg,1.0,3.0,0.5416666666666666,1.0,3.0,0.0,5.5,0.0,0.0,4.5,0.4326923076923077,1.5,7.5,2.0,6.0,0.5,0.5,-0.5,-1.5,0.10897435897435892,-4.5,-2.0,-0.5,-0.5,-0.5
2011-08-20,D1,2012,germany,FC Cologne,Kaiserslautern,0.0,1.5,0.3,0.5,3.5,0.5,1.5,0.5,0.5,4.5,0.5307692307692308,0.5,7.5,4.0,5.0,1.0,1.0,0.0,-3.0,-0.23076923076923078,-4.0,-3.5,-3.5,-0.5,-0.5
2011-08-20,D1,2012,germany,Borussia Dortmund,Nurnberg,1.0,5.0,0.4356060606060605,1.5,10.5,3.0,7.5,0.5,0.5,6.0,0.5681818181818181,1.0,7.0,2.5,4.5,1.0,0.0,0.5,-1.0,-0.13257575757575762,3.5,0.5,3.0,-0.5,0.5
2011-08-20,D1,2012,germany,FC Augsburg,TSG Hoffenheim,-1.0,5.0,0.5166666666666666,1.5,6.5,3.5,4.0,0.5,0.5,4.0,0.5,1.0,4.5,2.0,7.5,1.0,0.0,0.5,1.0,0.016666666666666607,2.0,1.5,-3.5,-0.5,0.5
2011-08-20,D1,2012,germany,VfB Stuttgart,Bayer Leverkusen,-1.0,6.5,0.5419580419580419,2.0,8.0,2.5,6.0,1.5,1.0,4.0,0.4142857142857142,0.5,4.5,2.0,5.5,1.0,0.0,1.5,2.5,0.12767232767232767,3.5,0.5,0.5,0.5,1.0
2011-08-20,D1,2012,germany,Werder Bremen,SC Freiburg,1.0,3.0,0.3611111111111111,1.0,7.0,3.0,6.0,1.0,1.5,5.0,0.606060606060606,1.5,5.5,2.0,6.5,0.0,1.0,-0.5,-2.0,-0.24494949494949486,1.5,1.0,-0.5,1.0,0.5
2011-08-20,F1,2012,france,Bordeaux,AJ Auxerre,0.0,5.5,0.6369047619047619,1.0,7.0,1.5,6.0,0.0,0.0,6.5,0.4772727272727272,1.5,5.0,2.0,5.5,1.5,0.0,-0.5,-1.0,0.15963203463203468,2.0,-0.5,0.5,-1.5,0.0
2011-08-20,D1,2012,germany,Bayern Munich,Hamburg SV,1.0,5.0,0.4567307692307692,0.5,6.5,2.5,7.0,0.5,0.0,3.0,0.5833333333333333,1.5,5.0,2.0,3.0,1.5,0.5,-1.0,2.0,-0.12660256410256404,1.5,0.5,4.0,-1.0,-0.5
2011-08-20,F1,2012,france,AC Ajaccio,Evian Thonon Gaillard,0.0,4.0,0.4307692307692308,0.5,7.0,4.5,4.0,2.0,0.0,3.5,0.4365079365079364,1.5,4.0,1.0,3.0,2.0,0.0,-1.0,0.5,-0.005738705738705607,3.0,3.5,1.0,0.0,0.0
2011-08-20,F1,2012,france,Dijon FCO,Lorient,1.0,4.0,0.5083333333333333,0.5,3.5,3.0,5.5,1.0,0.0,4.5,0.6904761904761905,1.0,4.0,2.5,5.0,0.5,0.0,-0.5,-0.5,-0.18214285714285716,-0.5,0.5,0.5,0.5,0.0
